QUESTION_ID,TOPIC,SUBTOPIC,MOCK_APPEARANCE,BLUEBOOK_APPEARANEC,QUESTION_PROMPT
e1ad3d41,PSDA,Probability,,,Coat color Eye color Deep blue Light brown Total Cream-tortoiseshell 16 16 32 Chocolate 12 Ã‚ Ã‚ 4 16 Total 28 20 48 The data on the coat color and eye color for 48Ã‚ HimalayanÃ‚ kittens available for adoption were collected and summarized in the table above. What fraction of the chocolate-colored kittens has deep blue eyes?
e21d10a7,PSDA,Rates & Proportions,1000D Upper,,One of a planet's moons orbits the planet every days. A second moon orbits the planet every days. How many more days does it take the second moon to orbit the planet times than it takes the first moon to orbit the planet times?
e24765e6,PSDA,Data 2 Variable,,BB7 MEDIUM,"During a study, the temperature, , of the air in a chamber was recorded to the nearest integer at certain times. The scatterplot shows the recorded temperature , , of the air in the chamber minutes after the start of the study. 1 2 3 4 5 6 7 8 x 2 4 6 8 10 12 14 16 18 20 22 24 26 28 30 y O Time (minutes) Temperature (Ã‚Â°C) What was the average rate of change, per minute, of the recorded temperature of the air in the chamber from to ?"
e29586d5,PSDA,Probability,,,"Number of Contestants by Score and Day Ã‚ 5 out Ã‚ of 5 4 out Ã‚ of 5 3 out Ã‚ of 5 2 out Ã‚ of 5 1 out Ã‚ of 5 0 out Ã‚ of 5 Total Day 1 2 3 4 6 2 3 20 Day 2 2 3 5 5 4 1 20 Day 3 3 3 4 5 3 2 20 Total 7 9 13 16 9 6 60 The same 20 contestants, on each of 3 days, answered 5 questions in order to win a prize. Each contestant received 1 point for each correct answer. The number of contestants receiving a given score on each day is shown in the table above. No contestant received the same score on two different days. If a contestant is selected at random, what is the probability that the selected contestant received a score of 5 on Day 2 or Day 3, given that the contestant received a score of 5 on one of the three days?"
e2e3942f,ALGEBRA,Systems of Linear Equations,,,"In the system of equations above, aÃ‚ is a constant. If the system of equations has no solution, what is the valueÃ‚ ofÃ‚ aÃ‚ ?"
e312081b,ADV_MATH,Equivalent Expressions,,,Which of the following is equivalent to the given expression?
e336a1d2,GEOM_TRIG,Area & Volume,,,"A cube has an edge length of inches. What is the volume, in cubic inches, of the cube?"
e3bbde69,ALGEBRA,Systems of Linear Equations,,,The solution to the given system of equations is . What is the value of ?
e438ec3f,PSDA,Probability,,BB6 UPPER,"A grove has rows of birch trees and rows of maple trees. Each row of birch trees has trees feet or taller and trees shorter than feet. Each row of maple trees has trees feet or taller and trees shorter than feet. A tree from one of these rows will be selected at random. What is the probability of selecting a maple tree, given that the tree is feet or taller?"
e470e19d,ALGEBRA,Linear Functions,,BB10 LOWER,The function is defined by . What is the x-intercept of the graph of in the xy-plane?
e4b4e9ea,GEOM_TRIG,Area & Volume,,BB6 MEDIUM,"The length of the edge of the base of a right square prism is units. The volume of the prism is cubic units. What is the height, in units, of the prism?"
e50afdd3,GEOM_TRIG,Circles,,BB5 MEDIUM,The graph of the given equation is a circle in the xy-plane. The pointÃ‚ lies on the circle. Which of the following is a possible value for ?
e53688cb,ALGEBRA,Systems of Linear Equations,1000D Upper,,The solution to the given system of equations is . What is the value of ?
e53870b6,ALGEBRA,Linear Equations 1 Variable,903D Lower,,"In the given equation, k is a constant. If the equation has infinitely many solutions, what is the value of k ?"
e53add44,ADV_MATH,Nonlinear Functions,,,"The function S above models the annual salary, in dollars, of an employee n years after starting a job, where a is a constant. If the employeeÃ¢â‚¬â„¢s salary increases by 4% each year, what is the value of a ?"
e597050f,ADV_MATH,Equivalent Expressions,903D Medium,,Which expression is equivalent toÃ‚ ?
e5b5fbdd,PSDA,Probability,,,"Of the 8 planets in our solar system, 4 are considered rocky. If a student randomly selects 1 of those 8 planets as a topic for a report, what is the probability that the selected planet will be rocky?"
e5c57163,GEOM_TRIG,Area & Volume,,BB10 MEDIUM,Square A has side lengths that are times the side lengths of square B. The area of square A is times the area of square B. What is the value of ?
e62cfe5f,ALGEBRA,Linear Functions,,,"According to a model, the head width, in millimeters, of a worker bumblebee can be estimated by adding 0.6 to four times the body weight of the bee, in grams. According to the model, what would be the head width, in millimeters, of a worker bumblebee that has a body weight of 0.5 grams?"
e635aede,PSDA,Percentages,,,"In , Zinah earned more than in , and in Zinah earned more than in . If Zinah earned times as much in as in , what is the value of ?"
e6545fa8,ALGEBRA,Systems of Linear Equations,,,The graph of a system of linear equations is shown. What is the solution to the system?
e6cb2402,ALGEBRA,Linear Equations 1 Variable,,,"In the given equation, is a constant. The equation has no solution. What is the value of ?"
e6f2ace7,GEOM_TRIG,Right Angle Trigonometry,,,The lengths of the legs of a right triangle are shown. Which of the following is closest to the length of the triangle's hypotenuse?
e723bd67,ALGEBRA,Linear Inequalities,,BB6 LOWER,For which of the following tables are all the values of and their corresponding values of solutions to the given inequality?
e7343559,ALGEBRA,Linear Equations 2 Variables,,,Which table gives three values of and their corresponding values of for the given equation?
e744499e,ALGEBRA,Linear Inequalities,,,"An elementary school teacher is ordering x workbooks and y sets of flash cards for a math class. The teacher must order at least 20 items, but the total cost of the order must not be over $80. If the workbooks cost $3 each and the flash cards cost $4 per set, which of the following systems of inequalities models this situation?"
e77a76ce,ALGEBRA,Systems of Linear Equations,,,Which of the following systems of linear equations has no solution?
e7b6f0d1,ALGEBRA,Linear Equations 1 Variable,,BB8 UPPER,Which equation has the same solution as the given equation?
e7d48c8a,PSDA,Data 1 Variable,,,"The dot plot represents a data set of the number of bursts for eruptions of a steam vent. If an additional eruption with bursts is added to this data set to create a new data set of eruptions, which of the following measures will be greater for the new data set than for the original data set? The median number of bursts The mean number of bursts"
e7d9649f,PSDA,Sample Size & ME,,,"A random sample of 50Ã‚ people from a town with a population ofÃ‚ 14,878 were asked to name their favorite flavor of iceÃ‚ cream. If 7Ã‚ people in the sample named chocolate as their favorite iceÃ¢â‚¬â€˜cream flavor, about how many people in the town would be expected to name chocolate?"
e80d62c6,GEOM_TRIG,Circles,,,The equation represents circle
e821a26d,PSDA,Data 2 Variable,,,"The scatterplot below shows the amount of electric energy generated, in millions of megawatt-hours, by nuclear sources over a 10Ã¢â‚¬â€˜year period. Ã‚ Of the following equations, which best models the data in the scatterplot?"
e86a06fe,ALGEBRA,Linear Functions,,BB5 UPPER,"Kaylani used fabric measuring yards in length to make each suit for a men's choir. The relationship between the number of suits that Kaylani made, , and the total length of fabric that she purchased , in yards, is represented by the equation . What is the best interpretation of in this context?"
e86f0651,GEOM_TRIG,Area & Volume,,,"A circle has a radius of meters. What is the area, in square meters, of the circle?"
e8779461,ADV_MATH,"Nonlinear Eq. 1 Var., Sys. 2 Var.",,,The solution to the given system of equations isÃ‚ . What is the value of ?
e8f9e117,ALGEBRA,Linear Inequalities,,,"The formula above is OhmÃ¢â‚¬â„¢s law for an electric circuit with current I, in amperes, potential difference V, in volts, and resistance R, in ohms. A circuit has a resistance of 500 ohms, and its potential difference will be generated by n six-volt batteries that produce a total potential difference of volts. If the circuit is to have a current of no more than 0.25 ampere, what is the greatest number, n, of six-volt batteries that can be used?"
e9349667,ADV_MATH,"Nonlinear Eq. 1 Var., Sys. 2 Var.",902D Upper,,"If and are the two solutions to theÃ‚ system of equations above, what is the value of ?"
e9841407,PSDA,Rates & Proportions,,,Shaquan has 7 red cards and 28 blue cards. What is the ratio of red cards to blue cards that Shaquan has?
e9ed719f,PSDA,Probability,,,"The table summarizes the distribution of color and shape for tiles of equal area. Ã‚ Red Blue Yellow Total Square Pentagon Total If one of these tiles is selected at random, what is the probability of selecting a red tile? (Express your answer as a decimal or fraction, not as a percent.)"
e9ef0e6b,ALGEBRA,Linear Inequalities,901D Medium,,"A model estimates that whales from the genus Eschrichtius travel to miles in the ocean each day during their migration. Based on this model, which inequality represents the estimated total number of miles, , a whale from the genus Eschrichtius could travel in days of its migration?"
e9f4521a,PSDA,Percentages,,BB8 MEDIUM,isÃ‚ of . What is the value of ?
e9fb7774,PSDA,Percentages,,,What percentage of is ?
ea6d05bb,ADV_MATH,Equivalent Expressions,,,"The expressionÃ‚ is equivalent to the expressionÃ‚ , where , , and are constants. What is the value of ?"
eaab8bc1,PSDA,Percentages,,BB9 LOWER,"Out of seeds that were planted,Ã‚ Ã‚ sprouted. How many of these seeds sprouted?"
eac739b2,ALGEBRA,Linear Equations 1 Variable,902D Lower,BB8 LOWER,"If , what is the value of ?"
eafdbbbd,ALGEBRA,Linear Equations 1 Variable,,,What value of Ã‚ is the solution to the given equation?
eb268057,ADV_MATH,"Nonlinear Eq. 1 Var., Sys. 2 Var.",,,Which of the following values of x satisfies the given equation?
eb672707,PSDA,Rates & Proportions,1000D Medium,,How many tablespoons are equivalent to teaspoons?
eb70d2d0,GEOM_TRIG,Area & Volume,903D Medium,,"What is the area, in square units, of the triangle formed by connecting the three points shown?"
